Location description: Anemona
ID: 22
Sensor: Noise
Datetime,dB
2015-07-30 04:06:10+01:00,60.0
2015-07-30 04:05:10+01:00,53.8
2015-07-30 04:04:10+01:00,53.8
2015-07-30 04:03:10+01:00,53.1
2015-07-30 04:02:10+01:00,62.9
2015-07-30 04:01:10+01:00,65.0
2015-07-30 04:00:10+01:00,63.1
2015-07-30 03:59:10+01:00,54.7
2015-07-30 03:58:10+01:00,53.5
2015-07-30 03:57:10+01:00,60.2
2015-07-30 03:56:10+01:00,55.1
2015-07-30 03:55:10+01:00,62.6
2015-07-30 03:54:10+01:00,53.5
2015-07-30 03:53:10+01:00,56.4
2015-07-30 03:52:10+01:00,65.0
2015-07-30 03:51:10+01:00,56.5
2015-07-30 03:50:10+01:00,56.1
2015-07-30 03:49:10+01:00,55.8
2015-07-30 03:48:10+01:00,54.7
2015-07-30 03:47:10+01:00,54.3
2015-07-30 03:46:10+01:00,55.0
2015-07-30 03:45:10+01:00,53.5
2015-07-30 03:44:10+01:00,56.0
2015-07-30 03:43:10+01:00,62.9
2015-07-30 03:42:10+01:00,54.6
2015-07-30 03:41:10+01:00,54.8
2015-07-30 03:40:10+01:00,56.2
2015-07-30 03:39:10+01:00,57.4
2015-07-30 03:38:10+01:00,57.9
2015-07-30 03:37:10+01:00,54.8
2015-07-30 03:36:10+01:00,58.3
2015-07-30 03:35:10+01:00,53.4
2015-07-30 03:34:10+01:00,53.2
2015-07-30 03:33:10+01:00,54.9
2015-07-30 03:32:10+01:00,59.7
2015-07-30 03:31:10+01:00,58.8
2015-07-30 03:30:10+01:00,67.5
2015-07-30 03:29:10+01:00,55.5
2015-07-30 03:28:10+01:00,58.1
2015-07-30 03:27:10+01:00,55.6
2015-07-30 03:26:10+01:00,60.9
2015-07-30 03:25:10+01:00,56.5
2015-07-30 03:24:10+01:00,61.2
2015-07-30 03:23:10+01:00,62.2
2015-07-30 03:22:10+01:00,55.6
2015-07-30 03:21:10+01:00,55.5
2015-07-30 03:20:10+01:00,68.4
2015-07-30 03:19:10+01:00,56.2
2015-07-30 03:18:10+01:00,53.8
2015-07-30 03:17:10+01:00,53.5
2015-07-30 03:16:10+01:00,53.1
2015-07-30 03:15:10+01:00,54.8
2015-07-30 03:14:10+01:00,56.6
2015-07-30 03:13:10+01:00,63.0
2015-07-30 03:12:10+01:00,57.1
2015-07-30 03:11:10+01:00,56.5
2015-07-30 03:10:10+01:00,53.9
2015-07-30 03:09:10+01:00,68.8
2015-07-30 03:08:10+01:00,53.1
2015-07-30 03:07:10+01:00,56.1
2015-07-30 03:06:10+01:00,51.6
2015-07-30 03:05:10+01:00,54.7
2015-07-30 03:04:10+01:00,61.8
2015-07-30 03:03:10+01:00,57.4
2015-07-30 03:02:10+01:00,50.7
2015-07-30 03:01:10+01:00,52.7
2015-07-30 03:00:10+01:00,49.9
2015-07-30 02:59:10+01:00,64.9
2015-07-30 02:58:10+01:00,58.8
2015-07-30 02:57:10+01:00,51.6
2015-07-30 02:56:10+01:00,53.4
2015-07-30 02:55:10+01:00,59.6
2015-07-30 02:54:10+01:00,61.2
2015-07-30 02:53:10+01:00,52.3
2015-07-30 02:52:10+01:00,52.8
2015-07-30 02:51:10+01:00,55.0
2015-07-30 02:50:10+01:00,52.6
2015-07-30 02:49:10+01:00,55.3
2015-07-30 02:48:10+01:00,61.6
2015-07-30 02:47:10+01:00,59.3
2015-07-30 02:46:10+01:00,54.1
2015-07-30 02:45:10+01:00,54.8
2015-07-30 02:44:10+01:00,52.5
2015-07-30 02:43:10+01:00,56.1
2015-07-30 02:42:10+01:00,57.0
2015-07-30 02:41:10+01:00,68.6
2015-07-30 02:40:10+01:00,63.9
2015-07-30 02:39:10+01:00,57.6
2015-07-30 02:38:10+01:00,60.2
2015-07-30 02:37:10+01:00,58.2
2015-07-30 02:36:10+01:00,55.6
2015-07-30 02:35:10+01:00,53.5
2015-07-30 02:34:10+01:00,57.2
2015-07-30 02:33:10+01:00,55.1
2015-07-30 02:32:10+01:00,61.2
2015-07-30 02:31:10+01:00,56.3
2015-07-30 02:30:10+01:00,55.4
