Location description: Anemona
ID: 22
Sensor: Precipitation
Datetime,Number of buckets (1 bucket = 0.2794mm)
2015-05-26 15:26:59+01:00,0.0
2015-05-26 15:25:59+01:00,0.0
2015-05-26 15:24:59+01:00,0.0
2015-05-26 15:22:59+01:00,0.0
2015-05-26 15:21:59+01:00,0.0
2015-05-26 15:20:59+01:00,0.0
2015-05-26 15:19:59+01:00,0.0
2015-05-26 15:18:59+01:00,0.0
2015-05-26 15:17:59+01:00,0.0
2015-05-26 15:16:59+01:00,0.0
2015-05-26 15:15:59+01:00,0.0
2015-05-26 15:14:59+01:00,0.0
2015-05-26 15:13:59+01:00,0.0
2015-05-26 15:12:59+01:00,0.0
2015-05-26 15:11:59+01:00,0.0
2015-05-26 15:10:59+01:00,0.0
2015-05-26 15:09:59+01:00,0.0
2015-05-26 13:38:33+01:00,0.0
2015-05-26 13:37:33+01:00,0.0
2015-05-26 13:35:33+01:00,0.0
2015-05-26 13:34:33+01:00,0.0
2015-05-26 13:33:33+01:00,0.0
2015-05-26 13:32:33+01:00,0.0
2015-05-26 13:31:33+01:00,0.0
2015-05-26 13:30:33+01:00,0.0
2015-05-26 13:29:33+01:00,0.0
2015-05-26 13:28:33+01:00,0.0
2015-05-26 13:27:33+01:00,0.0
2015-05-26 13:26:33+01:00,0.0
2015-05-26 13:25:33+01:00,0.0
2015-05-26 13:24:33+01:00,0.0
2015-05-26 13:23:33+01:00,0.0
2015-05-26 13:22:33+01:00,0.0
2015-05-26 13:21:33+01:00,0.0
2015-05-26 13:20:33+01:00,0.0
2015-05-26 13:19:33+01:00,0.0
2015-05-26 13:18:33+01:00,0.0
2015-05-26 13:17:33+01:00,0.0
2015-05-26 13:16:33+01:00,0.0
2015-05-26 13:15:33+01:00,0.0
2015-05-26 13:14:33+01:00,0.0
2015-05-26 13:13:33+01:00,0.0
2015-05-26 13:12:33+01:00,0.0
2015-05-26 13:11:33+01:00,0.0
2015-05-26 13:10:33+01:00,0.0
2015-05-26 13:09:33+01:00,0.0
2015-05-26 13:08:33+01:00,0.0
2015-05-26 13:06:33+01:00,0.0
2015-05-26 13:05:33+01:00,0.0
2015-05-26 13:04:33+01:00,0.0
2015-05-26 13:03:33+01:00,0.0
2015-05-26 13:02:33+01:00,0.0
2015-05-26 13:01:33+01:00,0.0
2015-05-26 13:00:33+01:00,0.0
2015-05-26 12:59:33+01:00,0.0
2015-05-26 12:58:33+01:00,0.0
2015-05-26 12:57:33+01:00,0.0
2015-05-26 12:56:33+01:00,0.0
2015-05-26 12:55:33+01:00,0.0
2015-05-26 12:54:33+01:00,0.0
2015-05-26 12:53:33+01:00,0.0
2015-05-26 12:52:33+01:00,0.0
2015-05-26 12:51:33+01:00,0.0
2015-05-26 12:50:33+01:00,0.0
2015-05-26 12:49:33+01:00,0.0
2015-05-26 12:48:33+01:00,0.0
2015-05-26 12:47:33+01:00,0.0
2015-05-26 12:46:33+01:00,0.0
2015-05-26 12:45:33+01:00,0.0
2015-05-26 12:44:33+01:00,0.0
2015-05-26 12:43:33+01:00,0.0
2015-05-26 12:42:33+01:00,0.0
2015-05-26 12:41:33+01:00,0.0
2015-05-26 12:40:33+01:00,0.0
2015-05-26 12:39:33+01:00,0.0
2015-05-26 12:38:33+01:00,0.0
2015-05-26 12:37:33+01:00,0.0
2015-05-26 12:36:33+01:00,0.0
2015-05-26 12:35:33+01:00,0.0
2015-05-26 12:34:33+01:00,0.0
2015-05-26 12:33:33+01:00,0.0
2015-05-26 12:32:33+01:00,0.0
2015-05-26 12:31:33+01:00,0.0
2015-05-26 12:30:33+01:00,0.0
2015-05-26 12:29:33+01:00,0.0
2015-05-26 12:28:33+01:00,0.0
2015-05-26 12:27:33+01:00,0.0
2015-05-26 12:26:33+01:00,0.0
2015-05-26 12:25:33+01:00,0.0
2015-05-26 12:23:33+01:00,0.0
2015-05-26 12:22:33+01:00,0.0
2015-05-26 12:21:33+01:00,0.0
2015-05-26 12:20:33+01:00,0.0
2015-05-26 12:19:33+01:00,0.0
2015-05-26 12:18:33+01:00,0.0
2015-05-26 12:17:33+01:00,0.0
2015-05-26 12:16:33+01:00,0.0
2015-05-26 12:15:33+01:00,0.0
2015-05-26 12:14:33+01:00,0.0
2015-05-26 12:13:33+01:00,0.0
2015-05-26 12:12:33+01:00,0.0
2015-05-26 12:11:33+01:00,0.0
2015-05-26 12:10:33+01:00,0.0
2015-05-26 12:09:33+01:00,0.0
2015-05-26 12:08:33+01:00,0.0
2015-05-26 12:07:33+01:00,0.0
2015-05-26 12:06:33+01:00,0.0
2015-05-26 12:05:33+01:00,0.0
2015-05-26 12:04:33+01:00,0.0
2015-05-26 12:03:33+01:00,0.0
2015-05-26 12:02:33+01:00,0.0
2015-05-26 12:01:33+01:00,0.0
2015-05-26 12:00:33+01:00,0.0
2015-05-26 11:59:33+01:00,0.0
2015-05-26 11:58:33+01:00,0.0
2015-05-26 11:57:33+01:00,0.0
2015-05-26 11:56:33+01:00,0.0
2015-05-26 11:55:33+01:00,0.0
2015-05-26 11:54:33+01:00,0.0
2015-05-26 11:53:33+01:00,0.0
2015-05-26 11:52:33+01:00,0.0
2015-05-26 11:51:33+01:00,0.0
2015-05-26 11:50:33+01:00,0.0
2015-05-26 11:49:33+01:00,0.0
2015-05-26 11:48:33+01:00,0.0
2015-05-26 11:47:33+01:00,0.0
2015-05-26 11:46:33+01:00,0.0
