Location description: Av. Franca
ID: 13
Sensor: Luminosity
Datetime,Volts
2015-11-18 17:31:37+00:00,80.3436
2015-11-18 17:30:50+00:00,81.4002
2015-11-18 17:29:36+00:00,83.6976
2015-11-18 17:28:35+00:00,85.8466
2015-11-18 17:27:39+00:00,85.8703
2015-11-18 17:26:35+00:00,82.4027
2015-11-18 17:25:35+00:00,57.8712
2015-11-18 17:24:35+00:00,33.0987
2015-11-18 17:23:36+00:00,35.4993
2015-11-18 17:22:35+00:00,41.3745
2015-11-18 17:21:36+00:00,47.5369
2015-11-18 17:20:35+00:00,54.4827
2015-11-18 17:19:35+00:00,61.67
2015-11-18 17:18:36+00:00,70.0911
2015-11-18 17:17:35+00:00,80.2618
2015-11-18 17:16:36+00:00,92.7694
2015-11-18 17:15:35+00:00,107.634
2015-11-18 17:14:36+00:00,122.922
2015-11-18 17:13:35+00:00,140.561
2015-11-18 17:12:35+00:00,160.347
2015-11-18 17:11:35+00:00,182.869
2015-11-18 17:10:39+00:00,204.235
2015-11-18 17:09:35+00:00,231.463
2015-11-18 17:08:35+00:00,259.468
2015-11-18 17:07:37+00:00,288.414
2015-11-18 17:06:35+00:00,323.534
2015-11-18 17:05:35+00:00,358.387
2015-11-18 17:04:35+00:00,396.987
2015-11-18 17:03:35+00:00,440.803
2015-11-18 17:02:35+00:00,485.233
2015-11-18 17:01:43+00:00,526.451
2015-11-18 17:00:35+00:00,584.595
2015-11-18 16:59:35+00:00,639.209
2015-11-18 16:58:35+00:00,742.397
2015-11-18 16:57:35+00:00,815.837
2015-11-18 16:56:35+00:00,910.33
2015-11-18 16:55:35+00:00,1003.68
2015-11-18 16:54:36+00:00,1084.14
2015-11-18 16:53:35+00:00,1141.26
2015-11-18 16:52:35+00:00,1170.47
2015-11-18 16:51:43+00:00,1184.67
2015-11-18 16:50:35+00:00,1161.66
2015-11-18 16:49:35+00:00,1191.36
2015-11-18 16:48:35+00:00,1241.95
2015-11-18 16:47:35+00:00,1261.54
2015-11-18 16:46:35+00:00,1276.06
2015-11-18 16:45:35+00:00,1277.2
2015-11-18 16:44:35+00:00,1290.91
2015-11-18 16:43:35+00:00,1320.12
2015-11-18 16:42:35+00:00,1351.95
2015-11-18 16:41:35+00:00,1377.08
2015-11-18 16:40:35+00:00,1418.53
2015-11-18 16:39:35+00:00,1491.97
2015-11-18 16:38:35+00:00,1570.64
2015-11-18 16:37:35+00:00,1631.67
2015-11-18 16:36:36+00:00,1674.27
2015-11-18 16:35:35+00:00,1744.61
2015-11-18 16:34:35+00:00,1830.78
2015-11-18 16:33:35+00:00,1932.45
2015-11-18 16:32:35+00:00,2037.06
2015-11-18 16:31:44+00:00,2116.54
2015-11-18 16:30:36+00:00,2213.81
2015-11-18 16:29:35+00:00,2277.78
2015-11-18 16:28:36+00:00,2343.23
2015-11-18 16:27:35+00:00,2456.65
