Location description: Candido dos Reis
ID: 268
Sensor: Wind direction
Datetime,Degrees
2015-08-20 11:10:36+01:00,135
2015-08-20 09:17:55+01:00,135
2015-08-20 09:17:54+01:00,0
2015-08-20 09:17:52+01:00,315
2015-08-20 09:17:51+01:00,135
2015-08-20 09:17:50+01:00,0
2015-08-20 09:17:49+01:00,0
2015-08-20 09:17:48+01:00,135
2015-08-20 09:17:46+01:00,180
2015-08-20 09:17:45+01:00,180
2015-08-20 09:17:44+01:00,270
2015-08-20 09:17:43+01:00,0
2015-08-20 09:17:42+01:00,0
2015-08-20 09:17:41+01:00,315
2015-08-20 09:17:40+01:00,180
2015-08-20 09:17:39+01:00,315
2015-08-20 09:17:36+01:00,135
2015-08-20 09:17:35+01:00,180
2015-08-20 09:17:34+01:00,315
2015-08-20 08:17:51+01:00,180
2015-08-20 08:17:47+01:00,0
2015-08-20 08:17:45+01:00,180
2015-08-20 08:17:44+01:00,180
2015-08-20 08:17:43+01:00,225
2015-08-20 08:17:41+01:00,180
2015-08-20 08:17:39+01:00,180
2015-08-20 07:52:05+01:00,135
2015-08-20 07:17:52+01:00,135
2015-08-20 07:17:51+01:00,135
2015-08-20 07:17:49+01:00,135
2015-08-20 07:17:48+01:00,135
2015-08-20 07:17:46+01:00,135
2015-08-20 07:17:44+01:00,135
2015-08-20 07:17:41+01:00,135
2015-08-20 07:17:39+01:00,135
2015-08-20 07:17:38+01:00,180
2015-08-20 07:17:33+01:00,135
2015-08-20 07:17:32+01:00,135
2015-08-20 07:15:09+01:00,135
2015-08-20 07:07:52+01:00,135
2015-08-20 06:17:50+01:00,135
2015-08-20 06:17:49+01:00,180
2015-08-20 06:17:48+01:00,135
2015-08-20 06:17:46+01:00,135
2015-08-20 06:17:44+01:00,135
2015-08-20 06:17:42+01:00,180
2015-08-20 06:17:41+01:00,180
2015-08-20 06:17:33+01:00,180
2015-08-20 05:17:43+01:00,180
2015-08-20 05:17:42+01:00,45
2015-08-20 05:17:40+01:00,135
2015-08-20 05:17:31+01:00,135
2015-08-20 04:17:53+01:00,135
2015-08-20 04:17:49+01:00,135
2015-08-20 04:17:45+01:00,135
2015-08-20 04:17:42+01:00,225
2015-08-20 04:17:36+01:00,270
2015-08-20 03:49:40+01:00,135
2015-08-20 03:18:46+01:00,135
2015-08-20 03:18:44+01:00,135
2015-08-20 03:18:43+01:00,135
2015-08-20 03:18:36+01:00,135
2015-08-20 03:18:35+01:00,180
2015-08-20 03:18:34+01:00,135
2015-08-20 03:18:32+01:00,135
2015-08-20 03:18:28+01:00,135
2015-08-20 02:20:52+01:00,180
2015-08-20 02:14:36+01:00,135
2015-08-20 01:38:23+01:00,90
2015-08-20 00:18:30+01:00,315
2015-08-20 00:18:29+01:00,180
2015-08-20 00:18:28+01:00,270
2015-08-20 00:18:27+01:00,45
2015-08-20 00:18:25+01:00,135
2015-08-20 00:18:24+01:00,90
2015-08-20 00:18:23+01:00,315
2015-08-20 00:18:22+01:00,90
2015-08-20 00:18:21+01:00,315
2015-08-20 00:18:20+01:00,90
2015-08-20 00:18:19+01:00,270
2015-08-20 00:18:18+01:00,270
2015-08-20 00:18:17+01:00,90
2015-08-20 00:18:16+01:00,270
2015-08-20 00:18:15+01:00,315
2015-08-20 00:18:14+01:00,315
2015-08-19 21:54:23+01:00,270
2015-08-19 11:50:08+01:00,0
2015-08-19 10:45:42+01:00,135
2015-08-19 10:25:04+01:00,0
2015-08-19 10:21:27+01:00,180
2015-08-19 10:17:54+01:00,135
2015-08-19 10:17:53+01:00,225
2015-08-19 10:17:52+01:00,315
2015-08-19 10:17:51+01:00,90
2015-08-19 10:17:50+01:00,180
2015-08-19 10:17:49+01:00,135
2015-08-19 10:17:48+01:00,180
2015-08-19 10:17:47+01:00,180
2015-08-19 10:17:46+01:00,180
2015-08-19 10:17:45+01:00,135
2015-08-19 10:17:44+01:00,45
2015-08-19 10:17:43+01:00,180
2015-08-19 10:17:42+01:00,135
