Location description: Congregados
ID: 205
Sensor: Temperature
Datetime,C
2015-10-16 21:28:05+01:00,19.8
2015-10-16 21:24:05+01:00,19.8
2015-10-16 21:22:05+01:00,19.8
2015-10-16 21:21:05+01:00,19.8
2015-10-16 21:20:05+01:00,19.8
2015-10-16 21:19:05+01:00,19.9
2015-10-16 21:18:05+01:00,19.9
2015-10-16 21:17:05+01:00,19.9
2015-10-16 21:16:05+01:00,19.9
2015-10-16 21:15:05+01:00,19.9
2015-10-16 21:14:05+01:00,20.0
2015-10-16 21:13:05+01:00,20.0
2015-10-16 21:12:05+01:00,20.0
2015-10-16 21:11:05+01:00,19.9
2015-10-16 21:10:05+01:00,20.0
2015-10-16 21:09:05+01:00,20.0
2015-10-16 21:08:05+01:00,20.0
2015-10-16 21:07:05+01:00,20.0
2015-10-16 21:06:05+01:00,20.0
2015-10-16 21:05:05+01:00,20.1
2015-10-16 21:04:05+01:00,20.0
2015-10-16 21:03:05+01:00,20.0
2015-10-16 21:02:06+01:00,20.0
2015-10-16 21:01:05+01:00,20.1
2015-10-16 21:00:05+01:00,20.1
2015-10-16 20:59:05+01:00,20.1
2015-10-16 20:58:05+01:00,20.1
2015-10-16 20:57:05+01:00,20.1
2015-10-16 20:56:06+01:00,20.1
2015-10-16 20:55:05+01:00,20.1
2015-10-16 20:54:05+01:00,20.1
2015-10-16 20:53:05+01:00,20.1
2015-10-16 20:52:05+01:00,20.2
2015-10-16 20:51:05+01:00,20.1
2015-10-16 20:50:05+01:00,20.1
2015-10-16 20:49:05+01:00,20.2
2015-10-16 20:48:05+01:00,20.1
2015-10-16 20:47:05+01:00,20.1
2015-10-16 20:46:05+01:00,20.1
2015-10-16 20:45:05+01:00,20.1
2015-10-16 20:44:05+01:00,20.1
2015-10-16 20:43:05+01:00,20.0
2015-10-16 20:42:05+01:00,20.1
2015-10-16 20:41:05+01:00,20.0
2015-10-16 20:40:05+01:00,20.0
2015-10-16 20:39:05+01:00,19.9
2015-10-16 20:38:05+01:00,19.9
2015-10-16 20:37:05+01:00,19.9
2015-10-16 20:36:05+01:00,20.0
2015-10-16 20:35:05+01:00,19.9
2015-10-16 20:34:05+01:00,20.0
2015-10-16 20:33:05+01:00,20.1
2015-10-16 20:32:05+01:00,20.1
2015-10-16 20:31:05+01:00,20.1
2015-10-16 20:30:05+01:00,20.2
2015-10-16 20:29:05+01:00,20.2
2015-10-16 20:28:05+01:00,20.2
2015-10-16 20:27:05+01:00,20.4
2015-10-16 20:26:05+01:00,20.5
2015-10-16 20:25:05+01:00,20.5
2015-10-16 20:24:05+01:00,20.6
2015-10-16 20:23:05+01:00,20.6
2015-10-16 20:22:05+01:00,20.6
2015-10-16 20:21:05+01:00,20.6
2015-10-16 20:20:05+01:00,20.7
2015-10-16 20:19:05+01:00,20.7
2015-10-16 20:18:05+01:00,20.8
2015-10-16 20:17:05+01:00,20.8
2015-10-16 20:16:05+01:00,20.8
2015-10-16 20:15:05+01:00,20.9
2015-10-16 20:14:05+01:00,21.0
2015-10-16 20:13:05+01:00,21.1
2015-10-16 20:12:05+01:00,21.1
2015-10-16 20:11:05+01:00,21.3
2015-10-16 20:10:05+01:00,21.4
2015-10-16 20:09:05+01:00,21.5
2015-10-16 20:08:05+01:00,21.7
2015-10-16 20:07:05+01:00,21.8
2015-10-16 20:06:05+01:00,21.9
2015-10-16 20:05:05+01:00,22.0
2015-10-16 20:04:05+01:00,22.0
2015-10-16 20:03:05+01:00,22.1
2015-10-16 20:02:05+01:00,22.1
2015-10-16 20:01:05+01:00,22.1
2015-10-16 20:00:05+01:00,22.0
2015-10-16 19:59:05+01:00,21.9
2015-10-16 19:58:05+01:00,21.8
2015-10-16 19:57:05+01:00,21.8
2015-10-16 19:56:05+01:00,21.6
2015-10-16 19:55:05+01:00,21.6
2015-10-16 19:54:05+01:00,21.5
2015-10-16 19:53:05+01:00,21.5
2015-10-16 19:52:05+01:00,21.4
2015-10-16 19:40:03+01:00,21.5
2015-10-16 19:39:03+01:00,21.5
2015-10-16 19:38:03+01:00,21.4
2015-10-16 19:37:03+01:00,21.3
2015-10-16 19:36:03+01:00,21.2
2015-10-16 19:35:03+01:00,21.1
2015-10-16 19:34:03+01:00,21.0
2015-10-16 19:33:03+01:00,20.9
2015-10-16 19:32:03+01:00,20.7
2015-10-16 19:31:03+01:00,20.5
2015-10-16 19:30:03+01:00,20.5
2015-10-16 19:29:03+01:00,20.3
2015-10-16 19:28:03+01:00,20.2
2015-10-16 19:27:03+01:00,20.1
2015-10-16 19:26:03+01:00,20.0
2015-10-16 19:25:03+01:00,20.0
2015-10-16 19:24:03+01:00,19.9
2015-10-16 19:23:03+01:00,19.9
2015-10-16 19:22:03+01:00,19.9
2015-10-16 19:21:03+01:00,19.9
2015-10-16 19:20:03+01:00,19.9
2015-10-16 19:19:03+01:00,19.9
2015-10-16 19:06:35+01:00,19.8
2015-10-16 19:05:35+01:00,19.8
2015-10-16 19:04:35+01:00,19.8
2015-10-16 19:03:35+01:00,19.8
2015-10-16 19:02:35+01:00,19.9
2015-10-16 19:01:35+01:00,19.8
2015-10-16 19:00:35+01:00,19.8
2015-10-16 18:59:35+01:00,19.8
2015-10-16 18:58:35+01:00,19.7
2015-10-16 18:57:35+01:00,19.7
2015-10-16 18:56:35+01:00,19.7
2015-10-16 18:55:35+01:00,19.7
2015-10-16 18:54:35+01:00,19.7
2015-10-16 18:53:35+01:00,19.7
2015-10-16 18:52:35+01:00,19.7
2015-10-16 18:51:35+01:00,19.8
2015-10-16 18:50:35+01:00,19.8
2015-10-16 18:49:35+01:00,19.8
2015-10-16 18:48:35+01:00,19.9
2015-10-16 18:47:35+01:00,19.9
2015-10-16 18:46:35+01:00,19.9
2015-10-16 18:45:35+01:00,19.9
2015-10-16 18:44:35+01:00,20.0
2015-10-16 18:43:35+01:00,20.0
2015-10-16 18:42:35+01:00,20.0
2015-10-16 18:41:35+01:00,20.0
2015-10-16 18:40:35+01:00,20.0
2015-10-16 18:39:35+01:00,20.0
2015-10-16 18:38:35+01:00,20.0
2015-10-16 18:37:35+01:00,20.1
2015-10-16 18:36:35+01:00,20.2
2015-10-16 18:35:35+01:00,20.2
2015-10-16 18:34:35+01:00,20.3
2015-10-16 18:33:35+01:00,20.2
2015-10-16 18:32:35+01:00,20.3
2015-10-16 18:31:35+01:00,20.3
2015-10-16 18:30:35+01:00,20.3
2015-10-16 18:29:35+01:00,20.5
2015-10-16 18:28:35+01:00,20.5
2015-10-16 18:27:35+01:00,20.5
2015-10-16 18:26:35+01:00,20.7
2015-10-16 18:25:36+01:00,20.7
2015-10-16 18:24:35+01:00,20.8
2015-10-16 18:23:35+01:00,20.8
2015-10-16 18:22:35+01:00,20.9
2015-10-16 18:21:35+01:00,21.0
2015-10-16 18:20:35+01:00,21.0
2015-10-16 18:19:35+01:00,21.1
2015-10-16 18:18:35+01:00,21.1
2015-10-16 18:17:35+01:00,21.2
2015-10-16 18:16:35+01:00,21.3
2015-10-16 18:15:35+01:00,21.3
2015-10-16 18:14:35+01:00,21.4
2015-10-16 18:13:35+01:00,21.5
2015-10-16 18:12:35+01:00,21.5
2015-10-16 18:11:35+01:00,21.5
2015-10-16 18:10:36+01:00,21.5
2015-10-16 18:09:35+01:00,21.6
2015-10-16 18:08:35+01:00,21.5
2015-10-16 18:07:35+01:00,21.6
2015-10-16 18:06:35+01:00,21.5
2015-10-16 18:05:35+01:00,21.4
2015-10-16 18:04:35+01:00,21.4
2015-10-16 18:03:35+01:00,21.4
2015-10-16 18:02:35+01:00,21.4
2015-10-16 18:01:35+01:00,21.5
2015-10-16 18:00:35+01:00,21.4
2015-10-16 17:59:35+01:00,21.2
2015-10-16 17:58:35+01:00,21.3
2015-10-16 17:57:35+01:00,21.3
2015-10-16 17:56:35+01:00,21.3
2015-10-16 17:55:35+01:00,21.3
2015-10-16 17:54:35+01:00,21.4
2015-10-16 17:53:35+01:00,21.4
