Location description: Congregados
ID: 205
Sensor: Wind direction
Datetime,Degrees
2015-10-22 19:27:35+01:00,135
2015-10-22 19:26:35+01:00,135
2015-10-22 19:25:35+01:00,90
2015-10-22 19:24:35+01:00,135
2015-10-22 19:23:35+01:00,135
2015-10-22 19:22:35+01:00,135
2015-10-22 19:21:35+01:00,135
2015-10-22 19:20:35+01:00,135
2015-10-22 19:19:35+01:00,135
2015-10-22 19:18:35+01:00,180
2015-10-22 19:17:35+01:00,135
2015-10-22 19:16:35+01:00,135
2015-10-22 19:15:35+01:00,135
2015-10-22 19:14:35+01:00,180
2015-10-22 19:13:35+01:00,180
2015-10-22 19:12:35+01:00,180
2015-10-22 19:11:35+01:00,135
2015-10-22 19:09:35+01:00,135
2015-10-22 19:08:35+01:00,90
2015-10-22 19:07:35+01:00,90
2015-10-22 19:06:35+01:00,135
2015-10-22 19:05:35+01:00,135
2015-10-22 19:04:35+01:00,135
2015-10-22 19:03:35+01:00,135
2015-10-22 19:02:35+01:00,135
2015-10-22 19:01:35+01:00,135
2015-10-22 19:00:35+01:00,135
2015-10-22 18:59:35+01:00,135
2015-10-22 18:58:35+01:00,135
2015-10-22 18:57:35+01:00,90
2015-10-22 18:56:35+01:00,135
2015-10-22 18:55:35+01:00,135
2015-10-22 18:54:35+01:00,135
2015-10-22 18:53:35+01:00,135
2015-10-22 18:52:35+01:00,90
2015-10-22 18:51:35+01:00,135
2015-10-22 18:50:35+01:00,90
2015-10-22 18:49:35+01:00,180
2015-10-22 18:48:35+01:00,225
2015-10-22 18:47:35+01:00,90
2015-10-22 18:46:35+01:00,135
2015-10-22 18:45:35+01:00,135
2015-10-22 18:44:35+01:00,135
2015-10-22 18:43:35+01:00,90
2015-10-22 18:42:35+01:00,135
2015-10-22 18:41:35+01:00,135
2015-10-22 18:40:35+01:00,180
2015-10-22 18:39:35+01:00,90
2015-10-22 18:38:35+01:00,225
2015-10-22 18:37:35+01:00,45
2015-10-22 18:36:35+01:00,180
2015-10-22 18:35:35+01:00,90
2015-10-22 18:34:35+01:00,180
2015-10-22 18:33:35+01:00,90
2015-10-22 18:32:35+01:00,180
2015-10-22 18:31:35+01:00,45
2015-10-22 18:30:35+01:00,135
2015-10-22 18:29:35+01:00,135
2015-10-22 18:28:35+01:00,90
2015-10-22 18:27:35+01:00,180
