Location description: Praca Velasquez
ID: 549
Sensor: Wind direction
Datetime,Degrees
2015-10-19 05:12:35+01:00,45
2015-10-19 05:11:38+01:00,0
2015-10-19 05:10:35+01:00,45
2015-10-19 05:09:35+01:00,45
2015-10-19 05:07:35+01:00,0
2015-10-19 05:06:35+01:00,45
2015-10-19 05:04:36+01:00,45
2015-10-19 05:03:46+01:00,90
2015-10-19 05:02:35+01:00,90
2015-10-19 05:01:35+01:00,90
2015-10-19 05:00:35+01:00,45
2015-10-19 04:59:35+01:00,0
2015-10-19 04:51:50+01:00,0
2015-10-19 04:48:50+01:00,315
2015-10-19 04:43:50+01:00,315
2015-10-19 04:41:49+01:00,90
2015-10-19 04:31:49+01:00,90
2015-10-19 04:11:49+01:00,225
2015-10-19 03:51:50+01:00,90
2015-10-19 03:48:49+01:00,90
2015-10-19 03:29:49+01:00,45
2015-10-19 03:21:49+01:00,45
2015-10-19 03:16:49+01:00,45
2015-10-19 03:11:49+01:00,315
2015-10-19 03:01:51+01:00,45
2015-10-19 02:51:54+01:00,45
2015-10-19 02:46:49+01:00,45
2015-10-19 02:44:52+01:00,45
2015-10-19 02:43:49+01:00,90
2015-10-19 02:36:50+01:00,0
2015-10-19 02:33:49+01:00,90
2015-10-19 02:21:49+01:00,45
2015-10-19 02:16:50+01:00,90
2015-10-19 02:11:51+01:00,90
2015-10-19 02:01:52+01:00,90
2015-10-19 01:51:49+01:00,45
2015-10-19 01:46:50+01:00,270
2015-10-19 01:45:50+01:00,315
2015-10-19 01:35:50+01:00,0
2015-10-19 01:28:52+01:00,45
2015-10-19 01:25:51+01:00,270
2015-10-19 01:16:49+01:00,45
2015-10-19 01:14:50+01:00,90
2015-10-19 01:06:49+01:00,45
2015-10-19 01:04:49+01:00,90
2015-10-19 01:02:51+01:00,45
2015-10-19 00:52:50+01:00,45
2015-10-19 00:49:50+01:00,45
2015-10-19 00:41:49+01:00,45
2015-10-19 00:36:49+01:00,45
2015-10-19 00:21:49+01:00,0
2015-10-19 00:11:49+01:00,135
2015-10-19 00:06:50+01:00,45
2015-10-19 00:01:49+01:00,315
2015-10-18 23:56:49+01:00,90
2015-10-18 23:54:50+01:00,0
2015-10-18 23:52:49+01:00,0
2015-10-18 23:51:49+01:00,315
2015-10-18 23:49:50+01:00,135
2015-10-18 23:44:49+01:00,90
2015-10-18 23:41:52+01:00,270
2015-10-18 23:36:50+01:00,45
2015-10-18 23:31:49+01:00,270
2015-10-18 23:28:50+01:00,45
2015-10-18 23:22:49+01:00,45
2015-10-18 23:21:49+01:00,0
2015-10-18 23:19:50+01:00,135
2015-10-18 23:16:52+01:00,135
2015-10-18 22:56:49+01:00,135
2015-10-18 22:49:49+01:00,315
2015-10-18 22:46:52+01:00,0
2015-10-18 22:32:49+01:00,225
2015-10-18 22:31:49+01:00,45
2015-10-18 22:21:49+01:00,180
2015-10-18 22:10:51+01:00,315
2015-10-18 22:01:49+01:00,180
2015-10-18 21:54:50+01:00,45
2015-10-18 21:53:49+01:00,0
2015-10-18 21:50:49+01:00,315
2015-10-18 21:49:49+01:00,180
2015-10-18 21:47:50+01:00,180
2015-10-18 21:41:52+01:00,135
2015-10-18 21:31:49+01:00,90
2015-10-18 21:26:50+01:00,315
2015-10-18 21:23:52+01:00,45
2015-10-18 21:16:49+01:00,45
2015-10-18 21:02:50+01:00,0
2015-10-18 20:48:51+01:00,45
2015-10-18 20:41:49+01:00,135
2015-10-18 20:36:49+01:00,0
2015-10-18 20:31:49+01:00,0
2015-10-18 20:28:49+01:00,0
2015-10-18 20:26:49+01:00,135
2015-10-18 20:01:49+01:00,90
2015-10-18 19:56:49+01:00,135
2015-10-18 19:41:49+01:00,0
2015-10-18 19:40:50+01:00,180
2015-10-18 19:19:50+01:00,90
2015-10-18 19:03:49+01:00,90
2015-10-18 19:01:49+01:00,45
2015-10-18 18:41:49+01:00,135
2015-10-18 18:32:53+01:00,45
2015-10-18 18:26:59+01:00,90
2015-10-18 18:25:49+01:00,135
2015-10-18 18:21:49+01:00,90
2015-10-18 18:10:50+01:00,0
2015-10-18 18:08:55+01:00,45
2015-10-18 18:06:49+01:00,90
2015-10-18 18:03:49+01:00,315
2015-10-18 18:02:50+01:00,90
2015-10-18 18:00:51+01:00,45
2015-10-18 17:57:51+01:00,0
2015-10-18 17:56:49+01:00,135
2015-10-18 17:54:58+01:00,45
2015-10-18 17:50:50+01:00,90
2015-10-18 17:45:52+01:00,45
2015-10-18 17:43:50+01:00,135
2015-10-18 17:39:49+01:00,90
2015-10-18 17:37:52+01:00,225
2015-10-18 17:36:50+01:00,90
2015-10-18 17:35:52+01:00,90
2015-10-18 17:34:51+01:00,0
2015-10-18 17:30:06+01:00,90
2015-10-18 17:26:54+01:00,90
2015-10-18 17:24:50+01:00,90
2015-10-18 17:23:50+01:00,135
2015-10-18 17:16:49+01:00,45
2015-10-18 17:13:52+01:00,135
2015-10-18 17:06:51+01:00,45
2015-10-18 17:05:50+01:00,90
2015-10-18 17:04:53+01:00,90
2015-10-18 17:01:52+01:00,90
2015-10-18 16:56:50+01:00,90
2015-10-18 16:52:51+01:00,90
2015-10-18 16:47:52+01:00,135
2015-10-18 16:45:50+01:00,90
2015-10-18 16:29:50+01:00,90
2015-10-18 16:28:50+01:00,0
2015-10-18 16:23:49+01:00,180
2015-10-18 16:20:51+01:00,90
2015-10-18 16:17:52+01:00,90
2015-10-18 16:16:51+01:00,90
2015-10-18 16:13:53+01:00,180
2015-10-18 16:11:52+01:00,90
2015-10-18 16:05:52+01:00,90
2015-10-18 16:04:51+01:00,135
2015-10-18 16:01:53+01:00,90
2015-10-18 15:57:49+01:00,135
2015-10-18 15:56:53+01:00,45
2015-10-18 15:46:49+01:00,90
2015-10-18 15:44:49+01:00,90
2015-10-18 15:39:50+01:00,135
2015-10-18 15:38:49+01:00,90
2015-10-18 15:37:51+01:00,90
2015-10-18 15:27:49+01:00,90
2015-10-18 15:24:49+01:00,135
2015-10-18 15:23:49+01:00,0
2015-10-18 15:18:50+01:00,90
2015-10-18 15:17:50+01:00,90
2015-10-18 15:16:52+01:00,135
2015-10-18 15:12:49+01:00,180
2015-10-18 15:06:50+01:00,90
2015-10-18 15:01:49+01:00,90
2015-10-18 14:55:51+01:00,90
2015-10-18 14:53:49+01:00,90
2015-10-18 14:52:50+01:00,90
2015-10-18 14:50:49+01:00,90
2015-10-18 14:41:49+01:00,45
2015-10-18 14:38:49+01:00,45
2015-10-18 14:36:49+01:00,45
2015-10-18 14:26:49+01:00,315
2015-10-18 14:22:49+01:00,45
2015-10-18 14:21:49+01:00,90
2015-10-18 14:11:52+01:00,135
2015-10-18 14:08:49+01:00,135
2015-10-18 14:02:49+01:00,90
2015-10-18 13:59:52+01:00,135
2015-10-18 13:57:49+01:00,90
2015-10-18 13:49:51+01:00,90
2015-10-18 13:46:49+01:00,135
2015-10-18 13:35:51+01:00,90
2015-10-18 13:31:51+01:00,135
2015-10-18 13:26:51+01:00,90
2015-10-18 13:08:49+01:00,45
2015-10-18 13:05:49+01:00,135
2015-10-18 13:01:49+01:00,45
2015-10-18 12:59:50+01:00,90
2015-10-18 12:54:52+01:00,90
2015-10-18 12:51:55+01:00,90
2015-10-18 12:48:49+01:00,0
2015-10-18 12:42:51+01:00,45
2015-10-18 12:41:52+01:00,90
2015-10-18 12:38:51+01:00,45
2015-10-18 12:36:51+01:00,90
2015-10-18 12:34:50+01:00,45
2015-10-18 12:31:49+01:00,45
2015-10-18 12:30:50+01:00,90
2015-10-18 12:16:49+01:00,90
2015-10-18 12:15:49+01:00,90
2015-10-18 12:08:51+01:00,45
2015-10-18 12:06:49+01:00,90
2015-10-18 12:00:51+01:00,135
2015-10-18 11:51:49+01:00,135
2015-10-18 11:46:50+01:00,90
2015-10-18 11:41:49+01:00,45
2015-10-18 11:34:50+01:00,90
2015-10-18 11:29:54+01:00,90
2015-10-18 11:18:50+01:00,90
2015-10-18 11:15:50+01:00,45
2015-10-18 11:12:51+01:00,90
2015-10-18 11:06:49+01:00,45
2015-10-18 10:54:49+01:00,90
2015-10-18 10:46:50+01:00,45
2015-10-18 10:43:50+01:00,90
2015-10-18 10:31:49+01:00,45
2015-10-18 10:26:53+01:00,45
2015-10-18 10:21:49+01:00,90
2015-10-18 10:11:49+01:00,90
2015-10-18 09:46:49+01:00,90
2015-10-18 09:36:53+01:00,90
2015-10-18 09:31:49+01:00,45
2015-10-18 09:21:49+01:00,45
2015-10-18 09:15:49+01:00,135
2015-10-18 09:01:52+01:00,90
2015-10-18 09:00:50+01:00,45
2015-10-18 08:45:50+01:00,90
2015-10-18 08:38:49+01:00,90
2015-10-18 08:31:49+01:00,135
2015-10-18 08:26:49+01:00,90
2015-10-18 08:11:49+01:00,90
2015-10-18 07:41:49+01:00,90
2015-10-18 07:36:49+01:00,90
2015-10-18 07:31:49+01:00,90
2015-10-18 07:26:50+01:00,135
2015-10-18 07:21:49+01:00,90
2015-10-18 07:16:51+01:00,90
2015-10-18 07:11:49+01:00,90
2015-10-18 07:07:49+01:00,90
2015-10-18 07:01:49+01:00,45
2015-10-18 06:53:51+01:00,90
2015-10-18 06:28:51+01:00,180
2015-10-18 06:08:51+01:00,90
2015-10-18 05:51:50+01:00,45
2015-10-18 05:49:49+01:00,90
2015-10-18 05:12:50+01:00,90
2015-10-18 05:10:52+01:00,45
2015-10-18 05:00:49+01:00,90
2015-10-18 04:50:50+01:00,90
2015-10-18 04:48:50+01:00,135
2015-10-18 04:24:49+01:00,90
2015-10-18 04:21:49+01:00,90
2015-10-18 04:16:49+01:00,180
2015-10-18 04:01:49+01:00,180
2015-10-18 03:56:49+01:00,225
2015-10-18 03:39:49+01:00,135
2015-10-18 03:36:49+01:00,45
2015-10-18 03:31:49+01:00,135
2015-10-18 03:30:50+01:00,90
2015-10-18 03:22:49+01:00,135
2015-10-18 03:19:49+01:00,90
2015-10-18 03:16:49+01:00,270
2015-10-18 03:04:49+01:00,225
2015-10-18 02:57:49+01:00,90
2015-10-18 02:51:49+01:00,180
2015-10-18 02:35:50+01:00,90
2015-10-18 02:28:50+01:00,0
2015-10-18 02:18:50+01:00,45
2015-10-18 02:16:49+01:00,270
2015-10-18 01:57:51+01:00,135
2015-10-18 01:51:49+01:00,225
2015-10-18 01:43:51+01:00,135
2015-10-18 01:41:49+01:00,90
2015-10-18 01:35:51+01:00,90
2015-10-18 01:31:49+01:00,0
2015-10-18 01:22:50+01:00,225
2015-10-18 01:18:49+01:00,90
2015-10-18 01:17:53+01:00,135
2015-10-18 01:07:51+01:00,135
2015-10-18 01:06:49+01:00,45
2015-10-18 01:03:52+01:00,135
2015-10-18 01:02:49+01:00,135
2015-10-18 01:00:50+01:00,45
