Location description: Trindade
ID: 19
Sensor: Temperature
Datetime,C
2017-01-04 05:17:34+00:00,11.8
2017-01-04 04:57:56+00:00,11.8
2017-01-04 04:38:25+00:00,11.7
2017-01-04 04:18:55+00:00,12.0
2017-01-04 03:59:19+00:00,12.0
2017-01-04 03:39:38+00:00,11.8
2017-01-04 03:20:19+00:00,11.9
2017-01-04 03:00:45+00:00,12.0
2017-01-04 02:41:11+00:00,11.9
2017-01-04 02:21:40+00:00,11.9
2017-01-04 02:02:01+00:00,11.9
2017-01-04 01:42:27+00:00,11.9
2017-01-04 01:22:55+00:00,12.0
2017-01-04 00:42:36+00:00,12.2
2017-01-04 00:23:00+00:00,12.2
2017-01-04 00:03:23+00:00,12.1
2017-01-03 23:43:50+00:00,12.2
2017-01-03 23:24:13+00:00,12.3
2017-01-03 22:44:14+00:00,12.3
2017-01-03 21:57:20+00:00,12.3
2017-01-03 21:37:40+00:00,12.4
2017-01-03 21:18:02+00:00,12.4
2017-01-03 20:58:26+00:00,12.6
2017-01-03 20:38:43+00:00,12.8
2017-01-03 20:19:11+00:00,12.9
2017-01-03 19:59:37+00:00,12.7
2017-01-03 19:40:05+00:00,12.7
2017-01-03 19:20:37+00:00,12.7
2017-01-03 19:01:06+00:00,12.9
2017-01-03 18:41:36+00:00,13.0
2017-01-03 18:22:05+00:00,13.3
2017-01-03 18:02:37+00:00,13.4
2017-01-03 17:43:10+00:00,13.5
2017-01-03 17:23:54+00:00,13.6
2017-01-03 17:04:39+00:00,14.0
2017-01-03 16:45:15+00:00,14.0
2017-01-03 16:25:53+00:00,14.5
2017-01-03 16:06:27+00:00,15.0
2017-01-03 15:47:05+00:00,15.5
2017-01-03 15:27:38+00:00,15.6
2017-01-03 15:08:13+00:00,15.5
2017-01-03 14:48:34+00:00,15.9
2017-01-03 14:28:53+00:00,15.9
2017-01-03 14:09:14+00:00,15.7
2017-01-03 13:49:36+00:00,15.4
2017-01-03 13:29:52+00:00,15.3
2017-01-03 13:10:13+00:00,15.3
2017-01-03 12:50:33+00:00,14.7
2017-01-03 12:30:52+00:00,14.2
2017-01-03 12:11:05+00:00,14.3
2017-01-03 11:51:16+00:00,13.8
2017-01-03 11:31:32+00:00,13.1
2017-01-03 11:11:40+00:00,12.6
2017-01-03 10:51:59+00:00,12.4
2017-01-03 10:32:29+00:00,12.1
2017-01-03 10:12:56+00:00,11.7
2017-01-03 09:53:36+00:00,11.6
2017-01-03 09:34:16+00:00,11.8
2017-01-03 09:14:57+00:00,12.1
2017-01-03 08:55:45+00:00,12.7
2017-01-03 08:36:27+00:00,12.9
2017-01-03 08:17:13+00:00,12.6
2017-01-03 07:57:58+00:00,12.5
2017-01-03 07:38:40+00:00,12.2
2017-01-03 07:19:20+00:00,12.3
2017-01-03 07:00:07+00:00,12.5
2017-01-03 06:40:54+00:00,12.5
2017-01-03 06:21:43+00:00,12.5
2017-01-03 06:02:26+00:00,12.9
2017-01-03 05:43:09+00:00,13.0
2017-01-03 05:09:12+00:00,12.9
2017-01-03 04:49:59+00:00,12.7
2017-01-03 04:30:46+00:00,12.6
2017-01-03 04:11:28+00:00,13.1
2017-01-03 03:52:10+00:00,13.2
2017-01-03 03:32:53+00:00,13.2
2017-01-03 03:13:42+00:00,13.4
2017-01-03 02:54:29+00:00,13.7
2017-01-03 02:35:11+00:00,13.7
2017-01-03 02:15:57+00:00,13.6
2017-01-03 01:56:45+00:00,13.4
2017-01-03 01:37:30+00:00,13.4
2017-01-03 01:18:15+00:00,13.4
2017-01-03 00:59:06+00:00,13.3
2017-01-03 00:39:52+00:00,13.0
2017-01-03 00:20:38+00:00,12.9
2017-01-03 00:01:22+00:00,12.5
2017-01-02 23:42:09+00:00,12.3
2017-01-02 23:22:53+00:00,12.6
2017-01-02 23:03:38+00:00,12.5
2017-01-02 22:44:26+00:00,12.4
2017-01-02 22:25:13+00:00,13.2
2017-01-02 22:05:59+00:00,13.1
2017-01-02 21:46:49+00:00,13.0
2017-01-02 21:27:36+00:00,13.3
2017-01-02 21:08:26+00:00,12.9
2017-01-02 20:49:11+00:00,12.3
2017-01-02 20:30:02+00:00,12.0
2017-01-02 20:10:52+00:00,11.8
2017-01-02 19:51:41+00:00,12.4
2017-01-02 19:32:28+00:00,12.6
2017-01-02 19:13:16+00:00,12.9
2017-01-02 18:54:05+00:00,12.5
2017-01-02 18:34:52+00:00,12.3
2017-01-02 18:15:39+00:00,12.1
2017-01-02 17:56:28+00:00,12.0
2017-01-02 17:37:15+00:00,12.0
2017-01-02 17:18:02+00:00,11.9
2017-01-02 16:58:51+00:00,12.3
2017-01-02 16:39:40+00:00,12.9
2017-01-02 16:20:30+00:00,12.9
2017-01-02 16:01:17+00:00,13.2
2017-01-02 15:42:04+00:00,13.3
2017-01-02 15:22:56+00:00,13.7
2017-01-02 15:03:44+00:00,13.9
2017-01-02 14:44:35+00:00,14.0
2017-01-02 14:25:22+00:00,14.0
2017-01-02 14:06:22+00:00,14.0
2017-01-02 13:32:48+00:00,13.5
2017-01-02 13:12:14+00:00,13.3
2017-01-02 12:53:15+00:00,13.4
2017-01-02 12:35:50+00:00,13.2
2017-01-02 12:16:37+00:00,12.8
2017-01-02 11:57:27+00:00,12.7
2017-01-02 11:38:19+00:00,12.6
2017-01-02 11:19:05+00:00,12.1
2017-01-02 10:59:54+00:00,11.9
2017-01-02 10:40:42+00:00,12.0
2017-01-02 10:21:43+00:00,11.9
2017-01-02 09:53:07+00:00,11.3
2017-01-02 09:33:58+00:00,10.7
2017-01-02 09:14:44+00:00,10.4
2017-01-02 08:32:13+00:00,10.3
2017-01-02 08:13:01+00:00,10.6
2017-01-02 07:54:03+00:00,10.9
2017-01-02 07:25:41+00:00,11.0
2017-01-02 07:06:26+00:00,11.0
2017-01-02 06:34:14+00:00,11.0
2017-01-02 05:58:10+00:00,10.7
2017-01-02 05:39:06+00:00,10.3
2017-01-02 05:19:54+00:00,10.0
2017-01-02 05:00:47+00:00,9.7
2017-01-02 04:59:58+00:00,9.7
2017-01-02 04:40:49+00:00,9.1
2017-01-02 04:21:38+00:00,8.7
2017-01-02 04:02:25+00:00,8.5
2017-01-02 03:43:13+00:00,8.2
2017-01-02 02:55:13+00:00,7.8
2017-01-02 02:36:03+00:00,7.6
2017-01-02 02:16:50+00:00,7.3
2017-01-02 01:39:30+00:00,6.8
2017-01-02 01:20:30+00:00,6.6
2017-01-02 00:57:11+00:00,6.6
2017-01-02 00:37:56+00:00,6.5
2017-01-01 23:55:14+00:00,6.3
2017-01-01 23:36:05+00:00,6.4
2017-01-01 23:16:50+00:00,6.3
2017-01-01 22:57:39+00:00,6.5
2017-01-01 22:38:27+00:00,6.7
2017-01-01 22:19:18+00:00,6.9
2017-01-01 22:00:05+00:00,7.2
2017-01-01 21:40:51+00:00,7.7
2017-01-01 21:21:43+00:00,7.7
2017-01-01 21:02:29+00:00,7.6
2017-01-01 20:11:50+00:00,7.7
2017-01-01 19:52:38+00:00,7.7
2017-01-01 19:33:28+00:00,7.8
2017-01-01 19:14:30+00:00,8.2
2017-01-01 18:58:13+00:00,8.4
2017-01-01 18:25:38+00:00,9.0
2017-01-01 18:06:27+00:00,9.3
2017-01-01 17:47:15+00:00,9.5
2017-01-01 17:28:05+00:00,9.9
2017-01-01 17:08:51+00:00,10.4
2017-01-01 16:18:52+00:00,11.5
2017-01-01 15:59:38+00:00,11.9
2017-01-01 15:40:31+00:00,12.3
2017-01-01 15:21:17+00:00,12.7
2017-01-01 15:02:05+00:00,12.6
2017-01-01 14:42:53+00:00,12.3
2017-01-01 14:23:55+00:00,12.5
2017-01-01 14:04:57+00:00,11.4
2017-01-01 13:45:47+00:00,10.7
2017-01-01 13:26:35+00:00,10.5
2017-01-01 13:07:20+00:00,9.8
2017-01-01 12:19:19+00:00,7.9
2017-01-01 12:00:09+00:00,7.2
2017-01-01 11:40:55+00:00,6.7
2017-01-01 10:53:58+00:00,4.8
2017-01-01 10:34:43+00:00,4.5
2017-01-01 09:59:26+00:00,3.5
2017-01-01 09:40:12+00:00,4.4
2017-01-01 09:21:07+00:00,3.6
2017-01-01 09:04:49+00:00,3.4
2017-01-01 08:25:39+00:00,2.1
2017-01-01 07:40:44+00:00,2.2
2017-01-01 07:21:29+00:00,2.3
2017-01-01 07:02:13+00:00,2.4
2017-01-01 06:27:41+00:00,2.7
2017-01-01 05:39:33+00:00,2.8
2017-01-01 05:20:23+00:00,2.9
2017-01-01 05:01:03+00:00,2.9
2017-01-01 04:46:32+00:00,3.1
2017-01-01 04:27:22+00:00,3.1
2017-01-01 04:08:00+00:00,3.2
2017-01-01 03:48:50+00:00,3.5
2017-01-01 03:29:36+00:00,3.6
2017-01-01 03:10:14+00:00,3.6
2017-01-01 02:50:46+00:00,3.7
2017-01-01 02:31:32+00:00,3.9
2017-01-01 02:12:13+00:00,4.0
2017-01-01 01:53:00+00:00,4.1
2017-01-01 01:33:36+00:00,4.2
2017-01-01 01:14:20+00:00,4.4
2017-01-01 00:55:04+00:00,4.5
2017-01-01 00:35:43+00:00,4.7
2016-12-31 23:49:33+00:00,5.3
2016-12-31 23:30:09+00:00,5.5
2016-12-31 23:10:52+00:00,5.6
2016-12-31 22:51:48+00:00,5.8
2016-12-31 22:25:30+00:00,6.1
2016-12-31 22:05:59+00:00,6.4
2016-12-31 21:46:43+00:00,6.4
2016-12-31 21:27:38+00:00,6.6
2016-12-31 21:08:53+00:00,6.9
2016-12-31 20:49:32+00:00,7.1
2016-12-31 20:30:15+00:00,7.5
2016-12-31 20:14:39+00:00,7.8
2016-12-31 20:14:09+00:00,7.8
2016-12-31 19:25:54+00:00,8.6
2016-12-31 19:06:42+00:00,9.3
2016-12-31 18:33:16+00:00,10.1
2016-12-31 18:14:03+00:00,10.7
2016-12-31 17:54:54+00:00,11.3
2016-12-31 17:35:40+00:00,12.2
2016-12-31 16:57:19+00:00,13.2
2016-12-31 16:23:58+00:00,14.0
